25422019	2133	41158	100499
25423699	2134	47230	179853
25423087	2135	60432	123313
25419352	2136	51102	73773
25401619	2149	34765	174814
25422438	2150	37429	183340
25422898	2151	39158	121274
25426768	2158	45213	157860
25401615	2163	50463	171438
25421380	2165	50985	73577
25422820	2168	47552	188512
25425180	2169	58647	164737
25401615	2170	45327	156056
25426641	2171	39447	120688
25422442	2178	26368	170656
25424978	2180	48096	188876
25424541	2182	39261	160319
25401612	2189	43035	172337
25426457	2191	56271	137920
25422088	2192	59541	123333
25422491	2194	47231	175475
25428101	2201	40789	160951
25425453	2204	44028	113971
25422140	2206	53960	141326
25422208	2207	56213	128401
25426918	2209	31218	184907
25425660	2211	51102	73793
25423869	2215	29658	184937
25421859	2218	41825	104014
25427046	2222	25800	171537
25424790	2225	38887	121908
25420004	2228	31360	165288
25401616	2229	44321	154968
25424532	2238	45931	151324
25421598	2239	47272	188521
25423562	2240	34717	174811
25426833	2241	47311	179714
25426679	2242	39154	120954
25418509	2243	43352	154710
25426929	2251	58684	166136
25401618	2252	44361	155533
25427230	2253	29998	184931
25428691	2254	32777	184880
25426642	2255	40409	160961
25429284	2256	52446	110846
25420819	2257	45932	151384
25426136	2259	42784	155986
25420344	2285	62456	182088
25428897	2286	38794	185953
25401602	2287	62598	181195
25425825	2289	45807	171848
25421126	2290	52350	176773
25424375	2292	42547	104068
25422593	2293	11919	118919
25420938	2294	29271	123843
25421022	2295	29351	123842
25416912	2296	64	56776
25418510	2297	-110	55062
25420094	2300	89210	110082
25424746	2302	49633	174524
25425550	2304	92937	142035
25426045	2305	83594	191381
25401607	2307	43571	154971
25427048	2308	90733	143358
25425541	2309	72262	194379
25401613	2311	51899	146552
25420861	2312	41698	100483
25426056	2314	96130	179471
25423354	2315	44300	215223
25424600	2316	44123	215249
25424712	2317	59455	215226
25422762	2318	48283	161329
25420192	2319	42251	200446
25427644	2320	59250	173677
25421864	2322	56189	196167
25422570	2323	47831	191558
25422249	2324	39102	160675
25419035	2327	37457	184606
25401600	2328	45105	105014
25420917	2329	131424	200600
25421352	2330	73502	104575
25421267	2331	75532	162276
25423519	2332	31645	214370
25421104	2333	42960	213069
25401606	2334	25831	171709
25421394	2335	43162	157504
25426252	2337	52075	63092
25422785	2339	74975	107657
25422043	2340	81332	202092
25425473	2341	33205	137623
25421929	2343	79808	75126
25423723	2345	42960	213049
25402341	2347	59963	123324
